id_municipio,id_estacao,estacao,data_fundacao,geolocalizacao,altitude
3133402,A519,CAMPINA VERDE,2006-07-15,POINT(-19.53916666 -49.51805554),559.07
5220405,A011,SAO SIMAO,2006-07-15,POINT(-18.96916666 -50.63333333),492.45
3147907,A516,PASSOS,2006-07-16,POINT(-20.74527777 -46.63388888),781.7
3100708,A520,CONCEICAO DAS ALAGOAS,2006-07-18,POINT(-19.98583333 -48.15166666),572.54
3520301,A712,IGUAPE,2006-07-20,POINT(-24.67166666 -47.54583333),2.7
3522406,A714,ITAPEVA,2006-07-25,POINT(-23.98194443 -48.88583333),743.33
3548807,A701,SAO PAULO - MIRANTE,2006-07-25,POINT(-23.4962888 -46.6200666),785.64
3145901,A513,OURO BRANCO,2006-07-28,POINT(-20.55666666 -43.75611111),1048.2
5003207,A717,NHUMIRIM,2006-08-02,POINT(-18.9886111 -56.62277777),102.26
3550209,A715,SAO MIGUEL ARCANJO,2006-08-15,POINT(-23.89083333 -47.99916666),710
3119955,A524,FORMIGA,2006-08-17,POINT(-20.455 -45.45388888),878.14
3156908,A525,SACRAMENTO,2006-08-19,POINT(-19.87527777 -47.43416666),913.12
3166709,A522,SERRA DOS AIMORES,2006-08-21,POINT(-17.79888888 -40.25),211.97
3521002,A713,IPERO,2006-08-22,POINT(-23.4261111 -47.58555555),609.33
3148103,A523,PATROCINIO,2006-08-22,POINT(-18.99666666 -46.98583333),978.11
3161700,A528,TRES MARIAS,2006-08-25,POINT(-18.20083333 -45.45972222),931.01
3168606,A527,TEOFILO OTONI,2006-08-25,POINT(-17.89277777 -41.51555555),467.17
3534708,A716,OURINHOS,2006-08-29,POINT(-23.00055555 -49.84333333),500
3143906,A517,MURIAE,2006-08-30,POINT(-21.105 -42.37583332),282.79
3542206,A718,RANCHARIA,2006-09-01,POINT(-22.37277777 -50.97472221),398.75
3548906,A711,SAO CARLOS,2006-09-04,POINT(-21.98027777 -47.88388888),859.29
3527108,A727,LINS,2006-09-20,POINT(-21.66611111 -49.73472221),460.65
3504503,A725,AVARE,2006-09-22,POINT(-23.10166666 -48.9411111),776.36
